GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,Credit note,834315803,15-04-2019,10756,,,12,9603.58,0,576.21,576.21,0,Submitted,Apr-19
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,Credit note,834327761,23-04-2019,1054,,,12,941.04,0,56.48,56.48,0,Submitted,Apr-19
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,Credit note,834327762,23-04-2019,132,,,12,117.88,0,7.06,7.06,0,Submitted,Apr-19
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,Credit note,834327764,23-04-2019,915,,,12,816.98,0,49.01,49.01,0,Submitted,Apr-19
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,Credit note,834327765,23-04-2019,610,,,12,544.66,0,32.67,32.67,0,Submitted,Apr-19
37AACCM1861C1ZS,MAGNET LABS PRIVATE LIMITED,Credit note,834293710,01-04-2019,431,,,12,384.82,0,23.09,23.09,0,Submitted,Apr-19
37AACCM1861C1ZS,MAGNET LABS PRIVATE LIMITED,Credit note,834293716,01-04-2019,3327,,,12,2970.58,0,178.21,178.21,0,Submitted,Apr-19
37AACCM1861C1ZS,MAGNET LABS PRIVATE LIMITED,Credit note,834293717,01-04-2019,209,,,12,186.62,0,11.19,11.19,0,Submitted,Apr-19
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,Credit note,CRN1920VT0229A1,18-04-2019,12473.44,,,12,11137,1336.44,0,0,0,Submitted,Apr-19
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104313093,01-04-2019,4191,,,12,3741.98,0,224.51,224.51,0,Submitted,Apr-19
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104313094,01-04-2019,923,,,12,824.14,0,49.43,49.43,0,Submitted,Apr-19
37AAACC1450B1ZD,CIPLA LIMITED,Credit note,1104313095,01-04-2019,3989,,,12,3561.56,0,213.72,213.72,0,Submitted,Apr-19
