GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
36AAACP3334M1ZC,PFIZER LIMITED,7034056790,R,12-02-2020,30419.06,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Feb-20
36AAACP3334M1ZC,PFIZER LIMITED,7034056794,R,12-02-2020,4786.08,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Feb-20
36AADCP8985B1Z5,PFIZER PRODUCTS INDIA PRIVATE LIMITED,7094025505,R,12-02-2020,1081.09,Andhra Pradesh,N,5,1029.61,51.48,0,0,0,Submitted,Feb-20
36AADCP8985B1Z5,PFIZER PRODUCTS INDIA PRIVATE LIMITED,7094025672,R,17-02-2020,39690,Andhra Pradesh,N,5,37800,1890,0,0,0,Submitted,Feb-20
37ACZPK6524E1Z6,SAILAJA  KURMALA,SIG5620,R,08-02-2020,10383,Andhra Pradesh,N,5,9888.12,0,247.2,247.2,0,Submitted,Feb-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9012367,R,07-02-2020,133769.31,Andhra Pradesh,N,5,8682.6,0,217.08,217.08,0,Submitted,Feb-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9012909,R,26-02-2020,14968.8,Andhra Pradesh,N,5,14256,0,356.4,356.4,0,Submitted,Feb-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9012910,R,26-02-2020,95378.64,Andhra Pradesh,N,5,6226.2,0,155.66,155.66,0,Submitted,Feb-20
37AAACG4414B1Z7,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,191026257127,R,15-02-2020,29741.33,Andhra Pradesh,N,5,1474.4,0,36.86,36.86,0,Submitted,Feb-20
37AAACG4414B1Z7,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,191026258206,R,29-02-2020,6148.99,Andhra Pradesh,N,5,433.6,0,10.84,10.84,0,Submitted,Feb-20
37AAYPN5693C1Z0,RAMA  NEELILAKSHMI,DS100809,R,06-02-2020,5824,Andhra Pradesh,N,5,3500,0,87.5,87.5,0,Submitted,Feb-20
36AAJCA7142F1ZR,OAKNET HEALTHCARE PRIVATE LIMITED,1911004719,R,18-02-2020,3886.33,Andhra Pradesh,N,5,3701.27,185.06,0,0,0,Submitted,Feb-20
37ABBCS7694H1ZS,SUN PHARMA DISTRIBUTORS LIMITED,AD19B2523761,R,11-02-2020,326851.43,Andhra Pradesh,N,5,3578.81,0,89.47,89.47,0,Submitted,Feb-20
37ABBCS7694H1ZS,SUN PHARMA DISTRIBUTORS LIMITED,AD19B2524964,R,25-02-2020,180143.45,Andhra Pradesh,N,5,8199.35,0,204.98,204.98,0,Submitted,Feb-20
37AAACG1895Q1ZX,ZYDUS HEALTHCARE LIMITED,5411987940,R,25-02-2020,96455.88,Andhra Pradesh,N,5,7409.29,0,185.23,185.23,0,Submitted,Feb-20
37AAACG1895Q1ZX,ZYDUS HEALTHCARE LIMITED,5411988224,R,27-02-2020,23675.88,Andhra Pradesh,N,5,6969.6,0,174.24,174.24,0,Submitted,Feb-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,INV1920VT15240,R,29-02-2020,84974.12,Andhra Pradesh,N,5,16593.6,829.68,0,0,0,Submitted,Feb-20
