GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
36AAACP3334M1ZC,PFIZER LIMITED,7034054054,R,09-01-2020,75217.14,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Jan-20
36AAACP3334M1ZC,PFIZER LIMITED,7034055387,R,23-01-2020,14355.04,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Jan-20
36AAACP3334M1ZC,PFIZER LIMITED,7034055440,R,23-01-2020,7017.29,Andhra Pradesh,N,0,0,0,0,0,0,Submitted,Jan-20
36AADCP8985B1Z5,PFIZER PRODUCTS INDIA PRIVATE LIMITED,7094024795,R,22-01-2020,32196.68,Andhra Pradesh,N,5,30663.5,1533.18,0,0,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9011197,R,04-01-2020,22073.2,Andhra Pradesh,N,5,15206.4,0,380.16,380.16,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9011319,R,09-01-2020,91435.55,Andhra Pradesh,N,5,10907.5,0,272.7,272.7,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9011762,R,23-01-2020,134396.29,Andhra Pradesh,N,5,19560.2,0,489.01,489.01,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,158LS9011780,R,24-01-2020,14968.8,Andhra Pradesh,N,5,14256,0,356.4,356.4,0,Submitted,Jan-20
37AAACG4414B1Z7,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,191026255790,R,24-01-2020,31370.64,Andhra Pradesh,N,5,737.2,0,18.43,18.43,0,Submitted,Jan-20
37AABCL3646F1ZL,LIFESTAR PHARMA PRIVATE LIMITED,716024325,R,07-01-2020,17368,Andhra Pradesh,N,5,1497.75,0,37.44,37.44,0,Submitted,Jan-20
37AABCL3646F1ZL,LIFESTAR PHARMA PRIVATE LIMITED,716024475,R,18-01-2020,33035,Andhra Pradesh,N,5,1497.73,0,37.44,37.44,0,Submitted,Jan-20
37ABBCS7694H1ZS,SUN PHARMA DISTRIBUTORS LIMITED,AD19B2520784,R,09-01-2020,231403.84,Andhra Pradesh,N,5,6233.89,0,155.85,155.85,0,Submitted,Jan-20
36AAACH2736F1ZV,SANOFI INDIA LIMITED,3839210495,R,22-01-2020,5528,Andhra Pradesh,N,5,5264.76,263.24,0,0,0,Submitted,Jan-20
37AAACG1895Q1ZX,ZYDUS HEALTHCARE LIMITED,5411985576,R,29-01-2020,84946.28,Andhra Pradesh,N,5,21128.13,0,528.21,528.21,0,Submitted,Jan-20
37AAACG1895Q1ZX,ZYDUS HEALTHCARE LIMITED,5411986168,R,31-01-2020,77865.86,Andhra Pradesh,N,5,27519.08,0,687.98,687.98,0,Submitted,Jan-20
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,950754972,R,07-01-2020,97101,Andhra Pradesh,N,5,3372.81,0,84.32,84.32,0,Submitted,Jan-20
37AAACM9401C1ZU,MANKIND PHARMA LIMITED,950755370,R,18-01-2020,58218,Andhra Pradesh,N,5,946.87,0,23.67,23.67,0,Submitted,Jan-20
36AAACI0380C1Z4,INDOCO REMEDIES LIMITED,INV1920VT14442,R,31-01-2020,95485.55,Andhra Pradesh,N,5,17922,896.1,0,0,0,Submitted,Jan-20
37AAACC1450B1ZD,CIPLA LIMITED,1104121399,R,20-01-2020,54650,Andhra Pradesh,N,5,10448.96,0,261.22,261.22,0,Submitted,Jan-20
36AAACP3334M1ZC,PFIZER LIMITED,7034054054,R,09-01-2020,75217.14,Andhra Pradesh,N,5,1283.4,64.17,0,0,0,Submitted,Jan-20
37AIVPM2843C3ZZ,BALARAMAN MOHANKUMAR,PS1920/00334,R,20-01-2020,21053,Andhra Pradesh,N,5,1282,0,32.05,32.05,0,Submitted,Jan-20
37AAACL1069K1ZE,LUPIN LIMITED,5170176208,R,07-01-2020,5519,Andhra Pradesh,N,5,2269.82,0,56.75,56.75,0,Submitted,Jan-20
37AAACL1069K1ZE,LUPIN LIMITED,5170176302,R,07-01-2020,85017,Andhra Pradesh,N,5,1383.71,0,34.59,34.59,0,Submitted,Jan-20
37AAACL1069K1ZE,LUPIN LIMITED,5170177260,R,25-01-2020,23916,Andhra Pradesh,N,5,18659.08,0,466.48,466.48,0,Submitted,Jan-20
37AAACL1069K1ZE,LUPIN LIMITED,5170177325,R,25-01-2020,193176,Andhra Pradesh,N,5,542.59,0,13.56,13.56,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07034,R,10-01-2020,8973.69,Andhra Pradesh,N,12,8012.22,0,480.73,480.73,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07197,R,24-01-2020,98237.53,Andhra Pradesh,N,12,85364.3,0,5121.86,5121.86,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07438,R,31-01-2020,14044.71,Andhra Pradesh,N,12,12539.92,0,752.4,752.4,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07457,R,31-01-2020,192045.15,Andhra Pradesh,N,12,165779.6,0,9946.78,9946.78,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07504,R,31-01-2020,52254.72,Andhra Pradesh,N,12,46656,0,2799.36,2799.36,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07545,R,31-01-2020,51667.73,Andhra Pradesh,N,12,46131.9,0,2767.91,2767.91,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07559,R,31-01-2020,34252.51,Andhra Pradesh,N,12,30582.6,0,1834.96,1834.96,0,Submitted,Jan-20
37ABJFM3820G1ZA,MAC ASSOCIATES,I19-07643,R,31-01-2020,109155.45,Andhra Pradesh,N,12,97460.22,0,5847.61,5847.61,0,Submitted,Jan-20
