GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100033,R,05-04-2019,26366,Andhra Pradesh,N,5,986,0,24.65,24.65,0,Submitted,Apr-19
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100141,R,25-04-2019,29889,Andhra Pradesh,N,5,493,0,12.33,12.33,0,Submitted,Apr-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03689,R,16-04-2019,27224.1,Andhra Pradesh,N,5,13633.7,681.69,0,0,0,Submitted,Apr-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03693,R,16-04-2019,33952.34,Andhra Pradesh,N,5,13633.5,681.68,0,0,0,Submitted,Apr-19
37AIVPM2843C3ZZ,BALARAMAN MOHANKUMAR,PS1920/00004,R,03-04-2019,20092,Andhra Pradesh,N,5,1589.68,0,39.74,39.74,0,Submitted,Apr-19
37AIVPM2843C3ZZ,BALARAMAN MOHANKUMAR,PS1920/00031,R,25-04-2019,20348,Andhra Pradesh,N,5,1923,0,48.08,48.08,0,Submitted,Apr-19
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100033,R,05-04-2019,26366,Andhra Pradesh,N,12,22616,0,1356.96,1356.96,0,Submitted,Apr-19
37AAACP5335J1ZB,PANACEA BIOTEC LIMITED,1936100141,R,25-04-2019,29889,Andhra Pradesh,N,12,26224,0,1573.44,1573.44,0,Submitted,Apr-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993000257,R,05-04-2019,7193,Andhra Pradesh,N,12,6422.6,0,385.36,385.36,0,Submitted,Apr-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993000258,R,05-04-2019,7342,Andhra Pradesh,N,12,6555.11,0,393.31,393.31,0,Submitted,Apr-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993001331,R,22-04-2019,4968,Andhra Pradesh,N,12,4435.7,0,266.14,266.14,0,Submitted,Apr-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993001601,R,25-04-2019,9561,Andhra Pradesh,N,12,8536.18,0,512.17,512.17,0,Submitted,Apr-19
37AABCA9317J2ZI,ADITYA MEDISALES LIMITED,AD1993002049,R,27-04-2019,90919,Andhra Pradesh,N,12,81177.31,0,4870.64,4870.64,0,Submitted,Apr-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts0020,R,16-04-2019,11426.36,Andhra Pradesh,N,12,10202.1,0,612.13,612.13,0,Submitted,Apr-19
37ARBPK9693B1ZL,CHALUVADI  KAMALAKUMARI,Umagts006,R,10-04-2019,9093.5,Andhra Pradesh,N,12,8119.2,0,487.15,487.15,0,Submitted,Apr-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03653,R,04-04-2019,81301.24,Andhra Pradesh,N,12,72590.39,8710.85,0,0,0,Submitted,Apr-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03689,R,16-04-2019,27224.1,Andhra Pradesh,N,12,11525.64,1383.08,0,0,0,Submitted,Apr-19
36AAACF3120H1Z5,FERRING PHARMACEUTICALS P RIVATE LIMITED,INTG03693,R,16-04-2019,33952.34,Andhra Pradesh,N,12,17533.18,2103.98,0,0,0,Submitted,Apr-19
37AAACA5579P1Z0,AJANTA PHARMA LIMITED,8054696331,R,10-04-2019,30247,Andhra Pradesh,N,12,27006.26,0,1620.37,1620.37,0,Submitted,Apr-19
37AAACA5579P1Z0,AJANTA PHARMA LIMITED,8054696573,R,27-04-2019,41566,Andhra Pradesh,N,12,37112.52,0,2226.74,2226.74,0,Submitted,Apr-19
37ACHPV0278Q1ZP,CHINNA KASI RAO  VISWANADHUNI,SR00502,R,22-04-2019,7969,Andhra Pradesh,N,12,7114.93,0,426.9,426.9,0,Submitted,Apr-19
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,PI3629000009,R,08-04-2019,20892.14,Andhra Pradesh,N,12,9093.27,1091.19,0,0,0,Submitted,Apr-19
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,PI3629000032,R,17-04-2019,19922.7,Andhra Pradesh,N,12,17788.12,2134.57,0,0,0,Submitted,Apr-19
36AHIPA1686P1ZX,AKUTHOTA PADMA SEKHAR,PI3629000076,R,29-04-2019,42535.56,Andhra Pradesh,N,12,29317.1,3518.05,0,0,0,Submitted,Apr-19
37AAUPI2336R1ZW,ITHA JYOSTNA KUMARI,158,R,24-04-2019,26309,Andhra Pradesh,N,12,23490.54,0,1409.43,1409.43,0,Submitted,Apr-19
37AAUPI2336R1ZW,ITHA JYOSTNA KUMARI,50,R,10-04-2019,36358,Andhra Pradesh,N,12,32462.65,0,1947.76,1947.76,0,Submitted,Apr-19
36AAACH7412G1ZU,EMAMI LIMITED,DS3600001158,R,30-04-2019,10272,Andhra Pradesh,N,12,9171.47,1100.53,0,0,0,Submitted,Apr-19
36AAACH7412G1ZU,EMAMI LIMITED,DS3600001194,R,30-04-2019,13885,Andhra Pradesh,N,12,12397.29,1487.71,0,0,0,Submitted,Apr-19
37AAGHV9740Q1Z2,VIVEK CHAND CHORDIA (HUF),VIJ20I0008,R,03-04-2019,87847,Andhra Pradesh,N,12,78434.99,0,4706.1,4706.1,0,Submitted,Apr-19
