GSTIN,SUPPLIER,INVNO,TYPE,INVDATE,INVAMT,STATE,REV,TAX,TAXABUL,IGST,CGST,SGST,CSS,STATUS,MON
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Debit note,158-126,17-01-2020,69.7,,,5,1.73,0,0.04,0.04,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Debit note,158-138,27-01-2020,31.05,,,5,21,0,0.53,0.53,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06641,06-01-2020,435.64,,,5,414.9,0,10.37,10.37,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06642,06-01-2020,516.72,,,5,492.12,0,12.3,12.3,0,Submitted,Jan-20
37AAACI9822K1Z8,A. MENARINI INDIA PRIVATE LIMITED,Credit note,VJW19E2IA00029E,17-01-2020,8200.19,,,5,757.04,0,18.93,18.93,0,Submitted,Jan-20
36AAJCA7142F1ZR,OAKNET HEALTHCARE PRIVATE LIMITED,Credit note,1911050317,17-01-2020,647.96,,,12,578.54,69.42,0,0,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Debit note,158-126,17-01-2020,69.7,,,12,60.63,0,3.63,3.63,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Debit note,158-138,27-01-2020,31.05,,,12,8.03,0,0.48,0.48,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06633,06-01-2020,315.79,,,12,281.95,0,16.92,16.92,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06634,06-01-2020,468.72,,,12,418.5,0,25.11,25.11,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06635,06-01-2020,308.86,,,12,275.76,0,16.55,16.55,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06636,06-01-2020,2219.01,,,12,1981.25,0,118.88,118.88,0,Submitted,Jan-20
37AAACI1220M1ZS,IPCA LABORATORIES LIMITED,Credit note,1589003243-06637,06-01-2020,1544.26,,,12,1378.8,0,82.73,82.73,0,Submitted,Jan-20
